channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UCXFf7OgCuOdcygnWp32Xk6g,ASMR Historian,everyday_history,1,1,36508,36508,https://www.youtube.com/channel/UCXFf7OgCuOdcygnWp32Xk6g/videos
UCXkj4Q95PJVlWUW5A_oTb6A,History That Makes You Sleepy,everyday_history,5,5,25879,2899,https://www.youtube.com/channel/UCXkj4Q95PJVlWUW5A_oTb6A/videos
UCb11kz4TvG18_x3b_83fy5A,Shift America,everyday_history,1,0,24975,24975,https://www.youtube.com/channel/UCb11kz4TvG18_x3b_83fy5A/videos
UCc9h2e_l6IGAl20B68IZ7Rg,Iconography of History,everyday_history,1,1,23313,23313,https://www.youtube.com/channel/UCc9h2e_l6IGAl20B68IZ7Rg/videos
UC0v8PeYogLNvpFxpZvRAkUA,History Rebuilds,everyday_history,1,1,21601,21601,https://www.youtube.com/channel/UC0v8PeYogLNvpFxpZvRAkUA/videos
UCw3QGNt0VIHXtDAKX91iylg,Flint & Factory,everyday_history,1,1,20099,20099,https://www.youtube.com/channel/UCw3QGNt0VIHXtDAKX91iylg/videos
UCWc1b23P3lPQ6Qo-oeazWng,Bedtime History,everyday_history,1,0,19081,19081,https://www.youtube.com/channel/UCWc1b23P3lPQ6Qo-oeazWng/videos
UCzV8tU9puZ9xHtCJHUvEClw,Military Heroes,everyday_history,1,1,17023,17023,https://www.youtube.com/channel/UCzV8tU9puZ9xHtCJHUvEClw/videos
UC9Bc5Kkqw6WuOFAbbdmPrZQ,Epic War Extra,everyday_history,1,1,15659,15659,https://www.youtube.com/channel/UC9Bc5Kkqw6WuOFAbbdmPrZQ/videos
UC9fZBEfX5EfXMAfOhTPzaVA,Boring History,everyday_history,4,4,15517,4266,https://www.youtube.com/channel/UC9fZBEfX5EfXMAfOhTPzaVA/videos
UCNaNiC9y89KQuRXxeGELjJw,Bedtime sleepy,everyday_history,1,1,14901,14901,https://www.youtube.com/channel/UCNaNiC9y89KQuRXxeGELjJw/videos
UCseqwEoeRhyr-XJGqNfvu2Q,Tony - Medieval History,everyday_history,1,1,14440,14440,https://www.youtube.com/channel/UCseqwEoeRhyr-XJGqNfvu2Q/videos
UCf6QOV4N3QCfH-MM3_AJIpg,Grand Manors,everyday_history,1,1,14082,14082,https://www.youtube.com/channel/UCf6QOV4N3QCfH-MM3_AJIpg/videos
UCiryWuQqK0n8W7hdxldt8_w,Rail Universe,everyday_history,1,1,13953,13953,https://www.youtube.com/channel/UCiryWuQqK0n8W7hdxldt8_w/videos
UCNDM0eq9WmBDr5UwMQFeFew,World View - Documentary,everyday_history,1,1,13549,13549,https://www.youtube.com/channel/UCNDM0eq9WmBDr5UwMQFeFew/videos
UC99tXyh_OHorW4DafgVc3pQ,Animata Historia,everyday_history,2,2,11519,7261,https://www.youtube.com/channel/UC99tXyh_OHorW4DafgVc3pQ/videos
