query_group,query,video_id,channel_id,channel_name,title,views,published_text,age_days,duration_seconds,url
everyday_history,inside New York tenement 1900 history documentary,PAtwhdfL4Ic,UCFU0fJOB4cXWeqG1pwhcg4g,Back in Time,No Running Water: 24 Hours in 1908 Tenement New York,246,1 month ago,30,576,https://www.youtube.com/watch?v=PAtwhdfL4Ic
everyday_history,inside New York tenement 1900 history documentary,wzr1dy_0rFw,UCyG6-53G5INrSLbxccd-wig,This Was America,Imagine It’s 1907. Your Son Has a Fever. There’s No One To Call,26,3 months ago,90,567,https://www.youtube.com/watch?v=wzr1dy_0rFw
everyday_history,inside New York tenement 1900 history documentary,rlAermdoSBg,UCYQuAhkJgU1I4tQzvxxu1aw,Erased Century,New York: The “Living Death” City No One Wanted to See (1900),16,5 months ago,150,1653,https://www.youtube.com/watch?v=rlAermdoSBg
everyday_history,inside New York tenement 1900 history documentary,aRYXmYevgtI,UCvOv2ngQ_mBSl5zrTAp2nhw,Ordinary Ages,"One Room on the Lower East Side, Autumn 1905",17,1 month ago,30,4510,https://www.youtube.com/watch?v=aRYXmYevgtI
everyday_history,inside New York tenement 1900 history documentary,08ZDj9PEFVs,UCTQhjqcgS3FIoLEJasZrLRQ,Great American Nostalgia,They Ate This to Survive: Italian Immigrant Meals in 1900s New York,3406,5 months ago,150,1873,https://www.youtube.com/watch?v=08ZDj9PEFVs
everyday_history,how families survived Dust Bowl documentary,lKev2pGRLNc,UCaPL0GxJHaOvIP-YmZzXjnQ,Poor Woman's Almanac,How Dust Bowl Families Survived With Nothing Left (The System That Kept Them Alive),15,2 days ago,2,1529,https://www.youtube.com/watch?v=lKev2pGRLNc
everyday_history,how families survived Dust Bowl documentary,kxwILjb_rTs,UC99tXyh_OHorW4DafgVc3pQ,Animata Historia,The Harsh Reality of the GREAT DEPRESSION | Life in the Dust Bowl in 1930s America,11519,7 months ago,210,1789,https://www.youtube.com/watch?v=kxwILjb_rTs
everyday_history,how families survived Dust Bowl documentary,ksNAiGvGnxg,UCXMEfLqvkc9Kgaxre4w4ixw,Survival History,Dust Bowl Families (1930s) – When the Earth Turned Against Them,97,6 months ago,180,2526,https://www.youtube.com/watch?v=ksNAiGvGnxg
everyday_history,how families survived Dust Bowl documentary,Upb1e_JwEKU,UCX7wzaaNnAe7jGMmd0fIlTA,American Food Vault,What Did Americans Eat During the Dust Bowl? | The Food That Kept Families Alive,5,7 days ago,7,688,https://www.youtube.com/watch?v=Upb1e_JwEKU
everyday_history,how families survived Dust Bowl documentary,BTbb84sZ3Ac,UCFU0fJOB4cXWeqG1pwhcg4g,Back in Time,The Dust Bowl: Black Sunday 1935 - How Families Survived America's Worst Environmental Disaster,143,7 months ago,210,1381,https://www.youtube.com/watch?v=BTbb84sZ3Ac
everyday_history,how families survived Dust Bowl documentary,8jlphpoULbg,UCc9h2e_l6IGAl20B68IZ7Rg,Iconography of History,The Dust Bowl Wave That Darkened America,23313,8 months ago,240,2950,https://www.youtube.com/watch?v=8jlphpoULbg
everyday_history,how families survived Dust Bowl documentary,etYiuVJ8JiA,UCrRKHZfN1Z6iwD7Hdhp2Hig,American Retold,How American Families Survived the Dust Bowl – Life During the Great American Drought,15,4 weeks ago,28,1162,https://www.youtube.com/watch?v=etYiuVJ8JiA
everyday_history,how families survived Dust Bowl documentary,0XR2ncWmzys,UCiW6rzqNlmwARc--5f-bBtQ,mohammad mw,The Forgotten Reality of Farm Life in Oklahoma in 1934 | Dust Bowl Survival Story,6,2 months ago,60,1214,https://www.youtube.com/watch?v=0XR2ncWmzys
