channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UC0ggS8bt4v7NiZpDfGqNpZQ,ExtinctZoo ,wildlife_documentaries,1,1,1195014,1195014,https://www.youtube.com/channel/UC0ggS8bt4v7NiZpDfGqNpZQ/videos
UC0ra0vN_iF5AwwU7G8q79rw,Majestic Studios,history_reconstruction,1,1,1155205,1155205,https://www.youtube.com/channel/UC0ra0vN_iF5AwwU7G8q79rw/videos
UCkG49maW4sr4pfxYmz9Jj0g,Flashback Frenzy,history_reconstruction,1,1,1151456,1151456,https://www.youtube.com/channel/UCkG49maW4sr4pfxYmz9Jj0g/videos
UC14Fb2zWTEZklONPXFbLrTQ,Primate Economics,economic_explainers,2,2,1114709,770694,https://www.youtube.com/channel/UC14Fb2zWTEZklONPXFbLrTQ/videos
UCdxuNy-HHb-F3PNG4SRqiOw,JRE Collection,wildlife_documentaries,1,1,1105954,1105954,https://www.youtube.com/channel/UCdxuNy-HHb-F3PNG4SRqiOw/videos
UCOpzwVUNsep7FpN5687XYEA,Sci-Fi Central,speculative_scifi,2,2,1089485,548152,https://www.youtube.com/channel/UCOpzwVUNsep7FpN5687XYEA/videos
UC0g0WbvanQND4dC1JDaW1_w,Wild Horizons,wildlife_documentaries,1,1,1058399,1058399,https://www.youtube.com/channel/UC0g0WbvanQND4dC1JDaW1_w/videos
UCfdNM3NAhaBOXCafH7krzrA,The Infographics Show,economic_explainers,5,5,1042255,717512,https://www.youtube.com/channel/UCfdNM3NAhaBOXCafH7krzrA/videos
UCxoz4YfS4M3H3C57FD4jW4Q,Science Time,speculative_scifi,1,1,1019577,1019577,https://www.youtube.com/channel/UCxoz4YfS4M3H3C57FD4jW4Q/videos
UCbyE5OvaP4GJhKvPCXxjWvw,Fire of Learning,speculative_scifi,1,1,973044,973044,https://www.youtube.com/channel/UCbyE5OvaP4GJhKvPCXxjWvw/videos
UCvQ_EDuk8w67a2UkCS1ptbA,Area52,speculative_scifi,1,1,949687,949687,https://www.youtube.com/channel/UCvQ_EDuk8w67a2UkCS1ptbA/videos
UCXgYsaO70gBNGcmpGKnln1Q,Worlds Before Us,history_reconstruction,2,2,947496,617621,https://www.youtube.com/channel/UCXgYsaO70gBNGcmpGKnln1Q/videos
UCPPrhcXtGR2aMoxrPJRKPLg,Para Bellum,history_reconstruction,1,1,934568,934568,https://www.youtube.com/channel/UCPPrhcXtGR2aMoxrPJRKPLg/videos
UCqD5_a82vcsECJQfmlAoZ-Q,Easy Documentary,speculative_scifi,1,1,911139,911139,https://www.youtube.com/channel/UCqD5_a82vcsECJQfmlAoZ-Q/videos
UCpHaAKu74UHvcYCi2g_PvBQ,Shout! Studios,speculative_scifi,1,1,897771,897771,https://www.youtube.com/channel/UCpHaAKu74UHvcYCi2g_PvBQ/videos
UCvDZfQfK9YySWRh5On8erow,Modern Life Studio,speculative_scifi,2,0,885415,645576,https://www.youtube.com/channel/UCvDZfQfK9YySWRh5On8erow/videos
UCDPk9MG2RexnOMGTD-YnSnA,Nat Geo Animals,wildlife_documentaries,4,3,874836,354055,https://www.youtube.com/channel/UCDPk9MG2RexnOMGTD-YnSnA/videos
UC4GYgpgZzfMhYr9y6rs5O6Q,Trust Me Bro,internet_mysteries,1,1,871796,871796,https://www.youtube.com/channel/UC4GYgpgZzfMhYr9y6rs5O6Q/videos
UCPJ_UzD4PEC-_vwN32amlIQ,Open Letter,economic_explainers,1,1,845840,845840,https://www.youtube.com/channel/UCPJ_UzD4PEC-_vwN32amlIQ/videos
UCLuIudjbquBATgqkIJxQi6A,Animated History ,history_reconstruction,1,1,822378,822378,https://www.youtube.com/channel/UCLuIudjbquBATgqkIJxQi6A/videos
UCR0v_ZA8zKJwxpU9HpDq3fQ,We Got Movies,speculative_scifi,1,1,811852,811852,https://www.youtube.com/channel/UCR0v_ZA8zKJwxpU9HpDq3fQ/videos
UCQtW2oz8ec8pHjjxawujNjg,Free Documentary - Nature,wildlife_documentaries,5,5,811738,558207,https://www.youtube.com/channel/UCQtW2oz8ec8pHjjxawujNjg/videos
UCotwjyJnb-4KW7bmsOoLfkg,Art of the Problem,speculative_scifi,1,1,806895,806895,https://www.youtube.com/channel/UCotwjyJnb-4KW7bmsOoLfkg/videos
UCm8EZfto3AdXqklkb2k550w,FING,internet_mysteries,1,1,804151,804151,https://www.youtube.com/channel/UCm8EZfto3AdXqklkb2k550w/videos
UCs_ineLBnNTGjrArNzjSLZg,Zem TV,internet_mysteries,1,1,788564,788564,https://www.youtube.com/channel/UCs_ineLBnNTGjrArNzjSLZg/videos
UCHa1_v_jRPdJFdU9tmOwxDA,Gaurav katare Extra,internet_mysteries,1,1,774879,774879,https://www.youtube.com/channel/UCHa1_v_jRPdJFdU9tmOwxDA/videos
UCX2IOB5QecICpfcb1GKHM_Q,Gaurav Katare,speculative_scifi,1,1,739847,739847,https://www.youtube.com/channel/UCX2IOB5QecICpfcb1GKHM_Q/videos
