channel_id,channel_name,query_groups,joined_date,subscribers,video_count,max_search_views,extracted_videos,extracted_long_videos,median_latest_10,median_latest_20,max_latest_20,latest_20_over_10k,latest_20_over_50k,latest_20_over_100k,latest_20_over_1m,latest_20_zero_or_missing,views_to_subs_median_10,country,canonical_url,videos_status
UCJHiG7fRmk8Gdxy6numisMA,Ancient Streets,history_reconstruction,2025-12-11,5420,84,150926,30,30,783,1800,7900,0,0,0,0,0,0.1446,,http://www.youtube.com/@AncientStreets,ok
UCD8g_HsWfrBUmm-EepMaHHg,Hidden Film,practical_lifestyle,2025-12-08,11100,49,87928,30,30,30500,43500,354000,18,9,4,0,0,2.7477,India,http://www.youtube.com/@HiddenFilm1m,ok
UCFU0fJOB4cXWeqG1pwhcg4g,Back in Time,everyday_history,2025-11-30,2650,51,89386,30,30,204,262,68000,2,2,0,0,0,0.0772,United States,http://www.youtube.com/@Backintime-t1h,ok
UCisHJobjgyF4r8pIB8-bRWw,Vanished History,history_reconstruction,2025-11-27,9580,27,86494,14,10,30000,30000,206000,6,4,2,0,0,3.1315,United States,http://www.youtube.com/@VanishedHistoryYT,ok
UClgo8akZOVpzeKm1o2oaurQ,Forgotten Labor,everyday_history,2025-11-20,20000,159,79724,30,30,1500,2300,25000,4,0,0,0,0,0.075,United States,http://www.youtube.com/@ForgottenLabor,ok
UCHacVMLp7bHDC7e4eoPi9Dw,Psychology Simplified,psychology_society,2025-11-16,275000,113,550814,30,30,5300,6350,62000,7,1,0,0,0,0.0193,United Kingdom,http://www.youtube.com/@PsychologyIsSimplified,ok
UCeUD9-4tOwIhA3gUsCxb7vA,All i need is 20 minutes,business_economics,2025-11-11,28200,16,386508,16,16,4350,7600,386000,8,2,2,0,0,0.1543,United Kingdom,http://www.youtube.com/@AlliNeedIs20minutes,ok
UCOl2oX_MPM0vSX7k8TKogMQ,Earthscapes Travel,nature_animals,2025-11-09,64000,70,3462120,29,29,938,991,23000,2,0,0,0,0,0.0147,United States,http://www.youtube.com/@EarthscapesTravel,ok
UCeSv-5lk1uqGyO9zpNYMvrA,Mil Gear Explainer,practical_lifestyle,2025-11-09,27800,59,275525,30,29,29000,40000,477000,14,9,4,0,0,1.0432,United States,http://www.youtube.com/@MilGearExplainer,ok
UCjAXMNVk-bbSPWF7pjIwFJg,Vikash Forensics,internet_mysteries,2025-11-02,5530,4,146822,4,4,78500,78500,329000,3,2,2,0,0,14.1953,India,http://www.youtube.com/@Vikash4nsics,ok
UCppyAe3EEAGcGknEr4C4H-A,Beyond The Rings,speculative_scifi,2025-11-01,10700,78,275528,30,28,3000,3000,222000,4,2,1,0,0,0.2804,Brazil,http://www.youtube.com/@BeyondTheRingsYT,ok
UC4UVmkFWcqT6aHPG6tRAlvA,Cheatham Media,consumer_systems,2025-10-28,43000,89,88874,30,30,42000,57500,196000,18,11,4,0,0,0.9767,,http://www.youtube.com/@CheathamMedia,ok
UCohG8-NtggGKbzx8K7YF1uw,GLOBAL DOCUMENTARY - Discovery Travel,practical_lifestyle,2025-10-13,24300,33,506804,30,30,868,3250,2000000,7,6,3,1,0,0.0357,United States,http://www.youtube.com/@GLOBALDOCUMENTARY4k,ok
UCnThE8FLrlN-tYvZhZL0uaA,Finance Bureau,business_economics|economic_explainers,2025-10-13,93300,443,61338,30,30,51000,42500,332000,18,8,5,0,0,0.5466,United Arab Emirates,http://www.youtube.com/@FinanceBureauOfficial,ok
UCpr1JAIc49gu9-FAlO4uAKw,timewarp cities,history_civilization,2025-10-12,54000,77,201014,30,30,4250,4900,80000,6,2,0,0,0,0.0787,,http://www.youtube.com/@timewarpcities,ok
UCkG49maW4sr4pfxYmz9Jj0g,Flashback Frenzy,history_civilization,2025-10-11,25200,4,1151445,4,4,758500,758500,1500000,4,4,3,2,0,30.0992,India,http://www.youtube.com/@FlashbackFrenzzzy,ok
UCLuIudjbquBATgqkIJxQi6A,Animated History ,history_civilization|history_reconstruction,2025-10-05,64200,14,822378,14,14,327000,464500,919000,14,13,12,0,0,5.0935,Netherlands,http://www.youtube.com/@AnimatedHistoryy,ok
UCohgJ1UZcLte8e4TMqm8Abg,Filmaya Pro,crime_scams_mystery,2025-09-25,42100,56,203163,29,29,82000,95500,805000,19,17,9,0,0,1.9477,,http://www.youtube.com/@FilmayaPro,ok
UCcA2aJFGGbSHVuqVp23rJlw,Money Chuck,business_economics|crime_scams_mystery,2025-09-22,18100,34,700146,30,30,3400,12000,332000,12,5,3,0,0,0.1878,,http://www.youtube.com/@MoneyChuck,ok
UCMWimE1l_u-A9S4eXfYG5dA,Mandarin Tech,geography_logistics,2025-09-18,70300,279,884580,30,30,4000,4250,51000,6,1,0,0,0,0.0569,United States,http://www.youtube.com/@Mandarintechmido,ok
UCPTDdIFlaBrHdCEerIjdXKw,Khalan Studio,work_career_education,2025-09-18,14200,19,429970,19,19,57000,23000,449000,13,8,5,0,0,4.0141,,http://www.youtube.com/@KhalanStudio,ok
UC9oGRaUTFIubLMT45nt9d4A,Metal Morph,everyday_history,2025-09-14,15400,41,137209,30,4,149500,149500,617000,4,3,3,0,0,9.7078,Ukraine,http://www.youtube.com/@MetalMorphling,ok
UCRu-HFgvI8sALbKQg5F1mCg,Gravity of Frame,culture_entertainment,2025-09-05,386,28,61946,26,13,320,287,61000,1,1,0,0,0,0.829,United States,http://www.youtube.com/@GravityofFrame,ok
UCqPTW4CeoAgq111DA__mP9g,Max Fisher,work_career_education,2025-09-03,487000,38,1732366,16,15,1240500,934000,6500000,15,15,15,7,0,2.5472,United States,http://www.youtube.com/@maxfisher,ok
UCHFoGRSXGOpc6D_NTGv-UyQ,Inqalaab International,crime_scams_mystery,2025-09-01,43600,61,2027486,30,30,3750,5400,72000,6,1,0,0,0,0.086,United States,http://www.youtube.com/@inqalaabofficial,ok
UCEy85baRPPw7Ls5HkMv8uRA,CRG Explains,culture_entertainment,2025-08-31,28800,99,1290719,30,30,21200,33500,1200000,13,8,6,1,0,0.7361,Czechia,http://www.youtube.com/@CRG-explains,ok
UCufvVan2COV7M3FX5dPdlHA,Old Money Dynasty,culture_entertainment,2025-08-29,96100,93,658277,30,30,9400,19000,346000,14,8,4,0,0,0.0978,Norway,http://www.youtube.com/@OldMoneyDynasty,ok
UCAKPIc6R4Z0AyIAFaTACCjA,Old Line Power,history_civilization,2025-08-28,33500,43,187383,30,30,6500,9150,277000,10,3,2,0,0,0.194,United States,http://www.youtube.com/@OldLinePower,ok
UC4fjzzxyd-osNfUGVaFoXLg,The Drowsy Astronaut,practical_lifestyle,2025-08-25,3160,129,115791,30,30,751,1250,3600,0,0,0,0,0,0.2377,,http://www.youtube.com/@TheDrowsyAstronaut,ok
UCqW-Q4PRQE5_n2vbAaC1rUg,messyintheusa,consumer_systems,2025-08-22,14400,82,691508,30,30,6000,6800,51000,4,2,0,0,0,0.4167,United States,http://www.youtube.com/@messyintheusa,ok
UCmHWbnzyRvVvkrSXFdZp7tg,NullSpace,science_engineering,2025-08-21,48700,6,1644652,4,4,910500,910500,2100000,3,3,3,2,0,18.6961,Canada,http://www.youtube.com/@NullSpaceYT,ok
UCwOu8GE6bUcIDfEERFEg8gA,Ittehaaz,history_civilization,2025-08-15,25200,27,562673,26,26,76000,51500,562000,18,10,6,0,0,3.0159,Qatar,http://www.youtube.com/@Ittehaaz,ok
UCutgizyE1iDZBZQFqte_jHA,Razzu Bolta hai,nature_animals,2025-08-13,80600,17,386121,17,17,1050000,1500000,5600000,17,17,17,13,0,13.0273,India,http://www.youtube.com/@RazzuBoltaHai-1,ok
UCO-K4Bggr246g8Yudin0_7Q,Claw Wildlife ,nature_animals,2025-08-13,30700,231,361034,30,30,10900,8750,256000,8,3,1,0,0,0.355,United States,http://www.youtube.com/@clawwildlife8386,ok
UCaWj2ql_J2M7Dqd78B5U7yQ,Charles VS The Past,history_reconstruction,2025-08-12,9380,90,127763,30,28,366,586,25000,3,0,0,0,0,0.039,France,http://www.youtube.com/@Charles-vs-the-past,ok
UCOBMTKkkVlOi6-zCYg6R9zQ,THE MOVIE ZONE,speculative_scifi,2025-08-12,35300,91,82469,10,10,845,845,82000,3,2,0,0,0,0.024,United Kingdom,http://www.youtube.com/@TheMovieZoneYT,ok
UCWbM5p20UDzs1VLGa9ku2Jw,Myths-creature,nature_animals,2025-08-09,22900,10,1502766,10,7,162000,162000,3300000,6,5,4,2,0,7.0742,,http://www.youtube.com/@Myths-creature,ok
UC6b4NXX4ppECUzdvTsX9Dtw,ancient editions,history_reconstruction,2025-08-09,19600,81,299637,30,30,7050,3850,299000,8,2,2,0,0,0.3597,United States,http://www.youtube.com/@ancienteditions,ok
UCZb1qK7zbqUui8Lm1muQNUg,VIVEK SINGH,crime_scams_mystery,2025-08-07,1080,23,56674,3,3,2100,2100,56000,1,1,0,0,0,1.9444,India,http://www.youtube.com/@VIVEKSINGHTV,ok
UCO_biEUmMGgKOYvTUfCu4Dw,Geography Explainer,geography_logistics,2025-08-05,1440,8,167209,8,8,10400,10400,167000,4,1,1,0,0,7.2222,Switzerland,http://www.youtube.com/@GeoExplainer123,ok
UCkuaNzAsSERRH5ecamFnf1g,Relationship Decode,psychology_society,2025-08-04,7090,10,354080,10,6,52500,52500,354000,6,3,1,0,0,7.4048,United Kingdom,http://www.youtube.com/@RelationshipDecode-n9x,ok
UCx4MRJZPmX9rb6Y7PGmU2Bg,Survive Plus,wildlife_documentaries,2025-07-28,64000,147,2724903,30,30,11100,21000,181000,13,2,1,0,0,0.1734,United Kingdom,http://www.youtube.com/@SurvivePlus,ok
UCQdI1zYa-0MvrGpCPNYj2CA,Urban Planner Explained,geography_logistics|practical_lifestyle|science_engineering,2025-07-28,57400,53,1436123,30,30,7050,8000,47000,7,0,0,0,0,0.1228,United States,http://www.youtube.com/@UrbanPlannerExplained,ok
UCQmSfO8cYdSV2Mu3gW4bpAw,Ancestors Civilization,history_reconstruction,2025-07-28,19400,102,333688,30,30,6350,6900,64000,5,1,0,0,0,0.3273,,http://www.youtube.com/@AncestorsCivilization,ok
UCVOKP-_OYHTnKFDSP89NfAQ,Mavora,nature_animals,2025-07-24,44200,33,6099297,30,30,25000,70500,1200000,17,11,7,2,0,0.5656,,http://www.youtube.com/@Mavora-917,ok
UCSoRPhBTtQ4ntgOj4RA_XqA,TRUE GLOBE,nature_animals|practical_lifestyle,2025-07-23,142000,116,1583346,30,30,6850,8250,272000,9,5,2,0,0,0.0482,United States,http://www.youtube.com/@trueglobe66,ok
UCfi5WDLF5paBigZnKSsPiEw,VICE Vault,geography_logistics,2025-07-22,86700,149,76633,30,30,70000,117000,787000,19,17,12,0,0,0.8074,United Kingdom,http://www.youtube.com/@VICEVaultChannel,ok
UCjz8uBTLs0f7Fnlxc5nzT5g,Wonny,culture_entertainment|psychology_society,2025-07-21,432000,53,4187240,30,30,1050000,1600000,4099999,20,20,20,13,0,2.4306,,http://www.youtube.com/@Wonnylol,ok
UCwm2tuDiDGGuULDIx18hEWQ,WildVerse,wildlife_documentaries,2025-07-18,30800,108,2021748,30,30,73000,58000,2000000,20,12,7,1,0,2.3701,Netherlands,http://www.youtube.com/@wildversechannel,ok
UCrNfRFWnLC3tCy1TnyhVQ7g,Casual Finance,crime_scams_mystery|technology_ai,2025-07-16,336000,172,565905,28,25,505000,405000,2000000,20,20,19,2,0,1.503,United States,http://www.youtube.com/@CasuallyFinance,ok
UCNZegH5HQPx_chNsPqJw1Rw,Sleepy Science Channel,nature_animals|practical_lifestyle|psychology_society|science_engineering,2025-07-09,329000,305,1476879,30,30,13500,16000,66000,15,1,0,0,0,0.041,United Kingdom,http://www.youtube.com/@SleepyScienceChannel,ok
UCxsXn1oYJcddzSJ83NIZTPw,Human Survival Files ,nature_animals,2025-07-07,931,24,234882,24,24,371,473,234000,2,1,1,0,0,0.399,United States,http://www.youtube.com/@humansurvivalfiles,ok
UCiaQXTGzrFfBCppui4rPDIg,Avoid Flight Bans,geography_logistics,2025-07-06,67700,211,1222644,30,30,872,1100,320000,5,2,2,0,0,0.0129,United States,http://www.youtube.com/@AvoidFlightBans,ok
UCvv62HsDWDxfwH2oL10ilvQ,Planet Vista 4K,practical_lifestyle,2025-07-02,75600,127,3597550,30,30,11000,11500,116000,13,5,1,0,0,0.1455,United States,http://www.youtube.com/@PlanetVista4K,ok
UCHb55meDzFOdxr6UG_ho4iw,ShriGuruCool,crime_scams_mystery,2025-07-01,241000,95,691354,30,29,657000,323000,1000000,20,20,20,1,0,2.7261,,http://www.youtube.com/@ShriGuruCool,ok
UC6LYB8YhQKo2H6EK3q6U6kw,Bedtime & Historian ,history_civilization,2025-07-01,79700,146,289976,30,30,8450,15000,268000,13,3,1,0,0,0.106,United States,http://www.youtube.com/@TheBedtimeHistory-icdi,ok
UCX2zCrhyNcgpWP5r6mdcuSg,SoulArc Studios,psychology_society,2025-06-27,46100,11,971282,10,10,70000,70000,1500000,9,6,4,1,0,1.5184,India,http://www.youtube.com/@SoulArcStudios,ok
UCpgh3p0dfB73tftHU64PYJA,Mackard,work_career_education,2025-06-24,39400,52,197682,30,29,4750,6100,2800000,8,6,5,1,0,0.1206,United States,http://www.youtube.com/@Mackard,ok
UCvqoIO_6h6xmlSrFOxFNSjA,Prophecy & Stone,history_civilization,2025-06-21,88300,113,278210,30,30,4750,2900,162000,7,1,1,0,0,0.0538,,http://www.youtube.com/@ProphecyStone,ok
UCLZyEY5Yj9S3EoxWKiSSh4w,Quera Official,science_engineering,2025-06-20,69300,54,374122,30,30,59000,76000,477000,20,13,8,0,0,0.8514,India,http://www.youtube.com/@QueraOfficial,ok
UC16mlRbA6vVaUzDkckHtkGw,Dear Old Blighty,business_economics,2025-06-20,71700,274,150570,30,30,4250,10000,90000,11,2,0,0,0,0.0593,United States,http://www.youtube.com/@DearOldBlighty,ok
UCFoGLU_SSf812tyOs3XGa_Q,Kee,psychology_society,2025-06-18,217000,129,3301346,30,30,6550,8600,41000,8,0,0,0,0,0.0302,,http://www.youtube.com/@Kee0111,ok
UCoKOHg2lt4gHxQ7zS3nRZiQ,Lost American History,history_civilization,2025-06-18,44400,73,514501,30,30,11500,8750,62000,9,2,0,0,0,0.259,United States,http://www.youtube.com/@LostAmericanHistory,ok
UCzuV3Y_9Bhp1nGLgCd3XkNA,Ammarify,culture_entertainment,2025-06-16,15300,31,464755,30,28,3850,17000,464000,12,5,4,0,0,0.2516,Pakistan,http://www.youtube.com/@ammarify-1,ok
UC99tXyh_OHorW4DafgVc3pQ,Animata Historia,history_reconstruction,2025-06-12,16400,170,301562,30,30,8200,9150,195000,9,3,2,0,0,0.5,United Kingdom,http://www.youtube.com/@Animata_Historia,ok
UCYoTbrSPXlwRMh8SEopZ1-g,History on a Fork,everyday_history,2025-06-06,112000,47,587984,6,6,51000,51000,587000,4,3,2,0,0,0.4554,United States,http://www.youtube.com/@HistoryonaFork,ok
UCZmv8aMKJ_NyS5uFJK_R8lg,Dabby,practical_lifestyle,2025-06-05,73500,16,2184680,16,7,17000,17000,2100000,5,2,2,1,0,0.2313,,http://www.youtube.com/@according-to-dabby,ok
UCt8F7pkSZK56hWBHWZLzQVw,Mike's POV History,history_reconstruction,2025-05-25,13600,22,79311,22,22,1350,7600,507000,10,6,2,0,0,0.0993,United Kingdom,http://www.youtube.com/@MikesPOVHistory,ok
UCAksyQw6LlPRw-rYhEPADMA,First Humans ,science_engineering,2025-05-24,36300,52,2358020,30,30,58000,50500,1100000,16,10,6,1,0,1.5978,Türkiye,http://www.youtube.com/@FirstHumans,ok
UCb9gttCzPcabOnq1nFYPwsw,Cryton,crime_scams_mystery,2025-05-17,107000,30,3044680,10,10,73000,73000,3000000,10,6,4,3,0,0.6822,United States,http://www.youtube.com/@Cryton,ok
UCPx37Sxf0nrTzd8JA2DHGwg,History After Dark,history_civilization,2025-05-17,70200,39,124488,30,30,115500,78500,288000,20,14,8,0,0,1.6453,Germany,http://www.youtube.com/@historyafterdarkfilms,ok
UC3yjkp0I99OrcMqT83K8vPw,Filmaya,crime_scams_mystery|practical_lifestyle,2025-05-14,654000,79,10613951,30,30,906500,942000,5800000,20,20,20,10,0,1.3861,,http://www.youtube.com/@Filmaya-1,ok
