channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UChK-y17zjt3a7Wo2Zz2h6rg,AI Knowledge Studio,technology_ai,1,0,21,21,https://www.youtube.com/channel/UChK-y17zjt3a7Wo2Zz2h6rg/videos
UChRqEa9KTQ71MjfYABOaaXA,PsychLayers,psychology_society,1,0,21,21,https://www.youtube.com/channel/UChRqEa9KTQ71MjfYABOaaXA/videos
UCNx0y4yzxasB6N95Vh_PdJQ,Fame Chronicles,culture_entertainment,1,0,21,21,https://www.youtube.com/channel/UCNx0y4yzxasB6N95Vh_PdJQ/videos
UC-sbk_aXZJya2kJW1uGr_RQ,The Epic Tale,culture_entertainment,1,0,21,21,https://www.youtube.com/channel/UC-sbk_aXZJya2kJW1uGr_RQ/videos
UCH8KmdML2mygT4d_A3SWOHg,"Forgotten Flavors
",everyday_history,1,0,21,21,https://www.youtube.com/channel/UCH8KmdML2mygT4d_A3SWOHg/videos
UCm0AOGVL_5TJyaJXVdhwsRw,DarkFiles786,technology_ai,1,1,20,20,https://www.youtube.com/channel/UCm0AOGVL_5TJyaJXVdhwsRw/videos
UCjD8SFvlM_RPeGqAd7vAf6A,Insight Archive,psychology_society,1,1,20,20,https://www.youtube.com/channel/UCjD8SFvlM_RPeGqAd7vAf6A/videos
UCtVPrxIeDrE5SQGUdl7SL7g,Guttu,internet_mysteries,1,1,20,20,https://www.youtube.com/channel/UCtVPrxIeDrE5SQGUdl7SL7g/videos
UCOgGk4vNEyoVI-q8k1gg-8A,GeoQuest,everyday_history,1,1,20,20,https://www.youtube.com/channel/UCOgGk4vNEyoVI-q8k1gg-8A/videos
UCLXQvsHMGvHqyzTLwXXdIvQ,Wake Point,everyday_history,1,1,20,20,https://www.youtube.com/channel/UCLXQvsHMGvHqyzTLwXXdIvQ/videos
